imagen,ancho_original,alto_original,ancho,alto,redimensionada,cobertura
low-resolution-photographs_img1,731,1024,731,1024,False,0.019644803779069766
low-resolution-photographs_img108,786,786,786,786,False,0.02368095617323518
low-resolution-photographs_img109,750,983,750,983,False,0.017185486605629026
low-resolution-photographs_img11,1200,829,1024,707,True,0.013503359264497878
low-resolution-photographs_img110,1200,1200,1024,1024,True,0.0
low-resolution-photographs_img12,2197,1621,1024,756,True,0.06727818080357142
low-resolution-photographs_img173,275,183,275,183,False,0.0
low-resolution-photographs_img179,1024,782,1024,782,False,0.008374460517902813
low-resolution-photographs_img18,310,163,310,163,False,0.0
low-resolution-photographs_img20,1280,720,1024,576,True,0.1222652859157986
low-resolution-photographs_img22,216,233,216,233,False,0.09090367191225561
low-resolution-photographs_img23,236,419,236,419,False,0.0
low-resolution-photographs_img24,680,443,680,443,False,0.17148453060682511
low-resolution-photographs_img25,512,284,512,284,False,0.2811674735915493
low-resolution-photographs_img3,694,1024,694,1024,False,0.05034503332132565
low-resolution-photographs_img34,294,444,294,444,False,0.12030397744683459
low-resolution-photographs_img37,741,1190,638,1024,True,0.02573196267633229
low-resolution-photographs_img38,692,1024,692,1024,False,0.00896828712066474
low-resolution-photographs_img40,400,600,400,600,False,0.025558333333333332
low-resolution-photographs_img6,271,186,271,186,False,0.05487441971193906
low-resolution-photographs_img98,800,710,800,710,False,0.06323591549295775
