imagen,condicion,NIQE
low-resolution-photographs_img1,Original degradada,2.791904713728836
low-resolution-photographs_img1,Pipeline preentrenado,3.6336461249699554
low-resolution-photographs_img1,Pipeline ajustado,4.107512283459231
low-resolution-photographs_img108,Original degradada,3.568357320462468
low-resolution-photographs_img108,Pipeline preentrenado,6.49334293758508
low-resolution-photographs_img108,Pipeline ajustado,6.1476057368423564
low-resolution-photographs_img109,Original degradada,3.9690414631302176
low-resolution-photographs_img109,Pipeline preentrenado,7.0506043894226975
low-resolution-photographs_img109,Pipeline ajustado,6.676851483630387
low-resolution-photographs_img11,Original degradada,3.0516005406999933
low-resolution-photographs_img11,Pipeline preentrenado,3.061856262850343
low-resolution-photographs_img11,Pipeline ajustado,3.039975300322772
low-resolution-photographs_img110,Original degradada,5.7564490188590165
low-resolution-photographs_img110,Pipeline preentrenado,2.9597911605177183
low-resolution-photographs_img110,Pipeline ajustado,2.96749167611855
low-resolution-photographs_img115,Original degradada,8.954204751766412
low-resolution-photographs_img115,Pipeline preentrenado,2.760004330679342
low-resolution-photographs_img115,Pipeline ajustado,3.3882201836950325
low-resolution-photographs_img116,Original degradada,22.25773529458667
low-resolution-photographs_img116,Pipeline preentrenado,4.849826454042067
low-resolution-photographs_img116,Pipeline ajustado,5.402455076127231
low-resolution-photographs_img117,Original degradada,7.688185007809301
low-resolution-photographs_img117,Pipeline preentrenado,5.788720873628795
low-resolution-photographs_img117,Pipeline ajustado,6.640408383866264
low-resolution-photographs_img12,Original degradada,3.0020749464653247
low-resolution-photographs_img12,Pipeline preentrenado,3.632299880674991
low-resolution-photographs_img12,Pipeline ajustado,3.9932100376964543
low-resolution-photographs_img125,Original degradada,5.837497627507053
low-resolution-photographs_img125,Pipeline preentrenado,2.8147099232578343
low-resolution-photographs_img125,Pipeline ajustado,3.037485830808402
low-resolution-photographs_img128,Original degradada,6.253749697034268
low-resolution-photographs_img128,Pipeline preentrenado,4.413189738777939
low-resolution-photographs_img128,Pipeline ajustado,4.422798857905032
low-resolution-photographs_img129,Original degradada,8.861618384538254
low-resolution-photographs_img129,Pipeline preentrenado,3.8602048874346813
low-resolution-photographs_img129,Pipeline ajustado,4.115203738383534
low-resolution-photographs_img130,Original degradada,7.2090836694841816
low-resolution-photographs_img130,Pipeline preentrenado,3.773593381015206
