imagen,rostros_detectados,mascara_solapa_rostro
low-resolution-photographs_img1,1,False
low-resolution-photographs_img108,3,True
low-resolution-photographs_img109,2,False
low-resolution-photographs_img11,6,False
low-resolution-photographs_img110,3,False
low-resolution-photographs_img12,2,True
low-resolution-photographs_img173,1,False
low-resolution-photographs_img179,1,True
low-resolution-photographs_img18,1,False
low-resolution-photographs_img20,1,True
low-resolution-photographs_img22,0,False
low-resolution-photographs_img23,2,False
low-resolution-photographs_img24,2,True
low-resolution-photographs_img25,2,True
low-resolution-photographs_img3,1,False
low-resolution-photographs_img34,1,True
low-resolution-photographs_img37,3,False
low-resolution-photographs_img38,2,True
low-resolution-photographs_img40,1,False
low-resolution-photographs_img6,2,True
low-resolution-photographs_img98,13,True
