Métrica,A,B,n,Δ medio (B − A),Δ mediana (B − A),B mejora,W,p,p Bonferroni,"Significativo (α=0,05)"
NIQE,Original degradada,Pipeline preentrenado,21,0.12141134874411866,0.5618922654880936,7/21,85.0,0.3038158416748047,0.9114475250244141,no
NIQE,Original degradada,Pipeline ajustado,21,0.2343486892479333,0.5143929913283309,7/21,82.0,0.2572479248046875,0.7717437744140625,no
NIQE,Pipeline preentrenado,Pipeline ajustado,21,0.11293734050381461,0.19853090724551503,8/21,76.0,0.1789875030517578,0.5369625091552734,no
BRISQUE,Original degradada,Pipeline preentrenado,21,-1.2277715773809523,-0.64483642578125,11/21,113.0,0.945744514465332,1.0,no
BRISQUE,Original degradada,Pipeline ajustado,21,-3.4031430199032737,-1.22137451171875,13/21,90.0,0.39258384704589844,1.0,no
BRISQUE,Pipeline preentrenado,Pipeline ajustado,21,-2.1753714425223216,-1.83642578125,16/21,62.0,0.06464958190917969,0.19394874572753906,no
Ma,Original degradada,Pipeline preentrenado,21,-1.3940667879013788,-1.5937013626098633,4/21,21.0,0.00042629241943359375,0.0012788772583007812,sí
Ma,Original degradada,Pipeline ajustado,21,-1.5548975808279855,-1.8005871772766113,2/21,18.0,0.00024127960205078125,0.0007238388061523438,sí
Ma,Pipeline preentrenado,Pipeline ajustado,21,-0.16083079292660668,0.016717910766601562,11/21,96.0,0.5167608261108398,1.0,no
PI,Original degradada,Pipeline preentrenado,21,0.7577390683227488,1.047952813083409,4/21,47.0,0.01578044891357422,0.047341346740722656,sí
PI,Original degradada,Pipeline ajustado,21,0.8946231350379593,1.1176549270007738,2/21,39.0,0.0062808990478515625,0.018842697143554688,sí
PI,Pipeline preentrenado,Pipeline ajustado,21,0.1368840667152107,0.11901027915585294,7/21,76.0,0.1789875030517578,0.5369625091552734,no
MUSIQ,Original degradada,Pipeline preentrenado,21,0.7466652279808408,3.072521209716797,12/21,103.0,0.682713508605957,1.0,no
MUSIQ,Original degradada,Pipeline ajustado,21,-0.6606825873965309,1.8606109619140625,12/21,112.0,0.9186935424804688,1.0,no
MUSIQ,Pipeline preentrenado,Pipeline ajustado,21,-1.4073478153773717,-1.2072486877441406,6/21,65.0,0.08219528198242188,0.24658584594726562,no
